codigo	descricao	unidade_medida	cpc	codigo_secao	codigo_divisao	codigo_grupo	codigo_classe	codigo_subclasse	id	offset	item_filename
6149	Consulta Médica - Pediatria                                                                                             	UN	9312	9	93	931	9312		6149	500	servicos.servicos
6157	Consulta Médica - Pneumologia                                                                                           	UN	9312	9	93	931	9312		6157	500	servicos.servicos
6165	Consulta Médica - Psiquiatria                                                                                           	UN	9312	9	93	931	9312		6165	500	servicos.servicos
6173	Consulta Médica - Reumatologia                                                                                          	UN	9312	9	93	931	9312		6173	500	servicos.servicos
6181	Consulta Médica - Nefrologia                                                                                            	UN	9312	9	93	931	9312		6181	500	servicos.servicos
6190	Nefrologia - Diálise Peritoneal                                                                                         	UN	9311	9	93	931	9311		6190	500	servicos.servicos
6203	Nefrologia - Hemodiálise                                                                                                	UN	9311	9	93	931	9311		6203	500	servicos.servicos
6211	Nefrologia - Hemoperfusao                                                                                               	UN	9311	9	93	931	9311		6211	500	servicos.servicos
6220	Nefrologia - Punção Biópsia Renal Percutânea                                                                            	UN	9311	9	93	931	9311		6220	500	servicos.servicos
6238	Nefrologia - Hemofiltração                                                                                              	UN	9311	9	93	931	9311		6238	500	servicos.servicos
6246	Nefrologia - Plasmaférese                                                                                               	UN	9311	9	93	931	9311		6246	500	servicos.servicos
6254	Nefrologia - Implante de Cateter Venoso Central para Hemodiálise                                                        	UN	9311	9	93	931	9311		6254	500	servicos.servicos
6262	Nefrologia - Diálise Peritoneal Crônica                                                                                 	UN	9311	9	93	931	9311		6262	500	servicos.servicos
6270	Nefrologia - Hemodiálise Crônica                                                                                        	UN	9311	9	93	931	9311		6270	500	servicos.servicos
6289	Nefrologia - Diálise Peritoneal Ambulatorial Contínua (Capd)                                                            	UN	9311	9	93	931	9311		6289	500	servicos.servicos
6297	Nefrologia - Instalação de Cateter Permanente para Diálise  Peritoneal                                                  	UN	9311	9	93	931	9311		6297	500	servicos.servicos
6300	Nefrologia - Retirada de Cateter Tenckhoff                                                                              	UN	9311	9	93	931	9311		6300	500	servicos.servicos
6319	Nefrologia - Transplante Renal                                                                                          	UN	9311	9	93	931	9311		6319	500	servicos.servicos
6327	Nefrologia - Transplante Renal - Punção Aspirativa Renal  para Diagnóstico de Rejeição                                  	UN	9311	9	93	931	9311		6327	500	servicos.servicos
6335	Anestesiologia - Anestesia para Bloqueios Não Convencionais                                                             	UN	9311	9	93	931	9311		6335	500	servicos.servicos
6343	Anestesiologia - Anestesia para Exames Radiológicos e Ultra - Sonográficos - Medicos                                    	UN	9311	9	93	931	9311		6343	500	servicos.servicos
6351	Nutrição Parenteral e Enteral - Procedimentos  Clínicos /   Cirúrgicos em Pacientes Internados.                         	UN	9311	9	93	931	9311		6351	500	servicos.servicos
6360	Alergologia - Aplicação de Hipossensibilizante                                                                          	UN	9311	9	93	931	9311		6360	500	servicos.servicos
6378	Alergologia - Tratamento para Recuperação do Asmático                                                                   	UN	9311	9	93	931	9311		6378	500	servicos.servicos
6386	Alergologia - Hipossensibilização Específica                                                                            	UN	9311	9	93	931	9311		6386	500	servicos.servicos
6394	Alergologia - Hipossensibilização Inespecífica                                                                          	UN	9311	9	93	931	9311		6394	500	servicos.servicos
6408	Alergologia - Hipossensibilização com Produtos Autógenos                                                                	UN	9311	9	93	931	9311		6408	500	servicos.servicos
6416	Alergologia - Provas Imuno-Alérgicas Bacterianas                                                                        	UN	9311	9	93	931	9311		6416	500	servicos.servicos
6424	Alergologia - Provas Imuno-Alérgicas para Fungos                                                                        	UN	9311	9	93	931	9311		6424	500	servicos.servicos
6432	Alergologia - Provas de Provocação                                                                                      	UN	9311	9	93	931	9311		6432	500	servicos.servicos
6440	Alergologia - Provas de Prausnitz-Kustner                                                                               	UN	9311	9	93	931	9311		6440	500	servicos.servicos
6459	Alergologia - Testes Cutâneos de Leitura Imediata                                                                       	UN	9311	9	93	931	9311		6459	500	servicos.servicos
6467	Alergologia - Testes de Contato                                                                                         	UN	9311	9	93	931	9311		6467	500	servicos.servicos
6475	Alergologia - Testes de Contato com Fotossensibilização                                                                 	UN	9311	9	93	931	9311		6475	500	servicos.servicos
6483	"Alergologia - Testes Imuno - Alérgicos "" In Vitro ""                                                                     "	UN	9311	9	93	931	9311		6483	500	servicos.servicos
6491	Cardiologia - Eletrocardiograma - Ecg                                                                                   	UN	9311	9	93	931	9311		6491	500	servicos.servicos
6505	Cardiologia - Teste Ergométrico (Te) em Bicicleta ou em  Es-teira                                                       	UN	9311	9	93	931	9311		6505	500	servicos.servicos
6513	Cardiologia - Monitorização Eletrocardiográfica   Programadacom Transcrição Não Contínua                                	UN	9311	9	93	931	9311		6513	500	servicos.servicos
6521	Cardiologia - Eletrocardiografia Dinâmica Sistema Holter                                                                	UN	9311	9	93	931	9311		6521	500	servicos.servicos
6530	Cardiologia - Ecocardiograma Unidimensional                                                                             	UN	9311	9	93	931	9311		6530	500	servicos.servicos
6548	Cardiologia - Ecocardiograma Bidimensional                                                                              	UN	9311	9	93	931	9311		6548	500	servicos.servicos
6556	Cardiologia - Ecocardiograma Bidimensional com Doppler                                                                  	UN	9311	9	93	931	9311		6556	500	servicos.servicos
6564	Cardiologia - Ecocardiograma Bidimensional com Mapeamento deFluxo a Cores                                               	UN	9311	9	93	931	9311		6564	500	servicos.servicos
6572	Cardiologia - Ecodoppler de Esforço ou Stress Farmacológico                                                             	UN	9311	9	93	931	9311		6572	500	servicos.servicos
6580	Cardiologia - Ecodoppler de Carótidas                                                                                   	UN	9311	9	93	931	9311		6580	500	servicos.servicos
6599	Cardiologia - Ecodoppler Vertebral ou Vascular Periférico                                                               	UN	9311	9	93	931	9311		6599	500	servicos.servicos
6602	Cardiologia - Ecodoppler de Carótidas, Mapeamento de Fluxo aCores                                                       	UN	9311	9	93	931	9311		6602	500	servicos.servicos
