codigo	descricao	codigo_divisao	id	offset	item_filename
633	SERVIÇOS DE FORNECIMENTO DE BEBIDAS PARA CONSUMO NO LOCAL                                                               	63	633	0	servicos.grupos
641	SERVIÇOS DE TRANSPORTE TERRESTRE DE COMBINADAS MODALIDADES                                                              	64	641	0	servicos.grupos
642	SERVIÇOS DE TRANSPORTE FERROVIÁRIO                                                                                      	64	642	0	servicos.grupos
643	SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       	64	643	0	servicos.grupos
644	SERVIÇOS DE TRANSPORTE VIA TUBULAÇÃO                                                                                    	64	644	0	servicos.grupos
651	SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO                                                                	65	651	0	servicos.grupos
652	SERVIÇOS DE TRANSPORTE FLUVIAL/INTERIOR                                                                                 	65	652	0	servicos.grupos
661	SERVIÇOS DE TRANSPORTE AÉREO DE PASSAGEIROS                                                                             	66	661	0	servicos.grupos
662	SERVIÇOS DE TRANSPORTE AÉREO DE CARGA                                                                                   	66	662	0	servicos.grupos
663	SERVIÇOS DE TRANSPORTE ESPACIAL                                                                                         	66	663	0	servicos.grupos
664	SERVIÇOS DE ALUGUEL DE AERONAVES COM TRIPULAÇÃO                                                                         	66	664	0	servicos.grupos
671	SERVIÇOS DE CARGA E DESCARGA                                                                                            	67	671	0	servicos.grupos
672	SERVIÇOS DE ARMAZENAGEM                                                                                                 	67	672	0	servicos.grupos
673	SERVIÇOS DE AJUDA PARA NAVEGAÇÃO                                                                                        	67	673	0	servicos.grupos
674	SERVIÇOS DE SUPORTE PARA TRANSPORTE FERROVIÁRIO                                                                         	67	674	0	servicos.grupos
675	SERVIÇOS DE SUPORTE PARA TRANSPORTE RODOVIÁRIO                                                                          	67	675	0	servicos.grupos
676	SERVIÇOS DE SUPORTE PARA TRANSPORTE AQUÁTICO                                                                            	67	676	0	servicos.grupos
677	SERVIÇOS DE SUPORTE PARA TRANSPORTE AÉREO OU ESPACIAL                                                                   	67	677	0	servicos.grupos
678	SERVIÇOS DE AGÊNCIA DE VIAGENS, OPERADORAS DE TURISMO E GUIATURÍSTICO                                                   	67	678	0	servicos.grupos
679	SERVIÇOS AUXILIARES E OUTROS SERVIÇOS DE TRANSPORTE AUXILIAR                                                            	67	679	0	servicos.grupos
681	SERVIÇOS POSTAL E DE CORREIO                                                                                            	68	681	0	servicos.grupos
691	SERVIÇOS DE DISTRIBUIÇÃO DE ELETRICIDADE E DISTRIBUIÇÃO DE  GÁS ATRAVÉS DE TUBULAÇÃO                                    	69	691	0	servicos.grupos
692	SERVIÇOS DE DISTRIBUIÇÃO DE ÁGUA ATRAVÉS DE TUBULAÇÃO                                                                   	69	692	0	servicos.grupos
711	SERVIÇOS DE INTERMEDIAÇÃO FINANCEIRA,EXCETO SERVIÇO BANCÁRIODE INVESTIMENTO,SERVIÇOS DE SEGUROS E DE PENSÕES            	71	711	0	servicos.grupos
712	SERVIÇOS BANCÁRIO DE INVESTIMENTO                                                                                       	71	712	0	servicos.grupos
713	SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA            	71	713	0	servicos.grupos
714	SERVIÇOS DE RESEGURO                                                                                                    	71	714	0	servicos.grupos
715	SERVIÇOS AUXILIARES DA INTERMEDIAÇÃO FINANCEIRA EXCETO OS DESEGUROS E DE PENSÕES                                        	71	715	0	servicos.grupos
716	SERVIÇOS AUXILIARES DE SEGUROS E DE PENSÕES                                                                             	71	716	0	servicos.grupos
721	SERVIÇOS IMOBILIÁRIOS RELATIVOS A LOCAÇÃO OU ARRENDAMENTO                                                               	72	721	0	servicos.grupos
722	SERVIÇOS IMOBILIÁRIOS COMISSIONADOS OU POR CONTRATO                                                                     	72	722	0	servicos.grupos
731	SERVIÇOS DE LEASING OU ALUGUEL VEÍCULOS A MOTOR, FERROVIÁRIOEMBARCAÇÕES, AERONAVES, DE EQUIPAMENTO DE TRANSPORTE, S/OPER	73	731	0	servicos.grupos
732	SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               	73	732	0	servicos.grupos
733	SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE ATIVOS NÃO-FINAN-CEIROS INTANGÍVEIS                                          	73	733	0	servicos.grupos
800	SERVIÇOS TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - TIC                                                                   	80	800	0	servicos.grupos
811	SERVIÇOS DE PESQUISA E DO DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS NATURAIS E ENGENHARIA                                	81	811	0	servicos.grupos
812	SERVIÇOS DE PESQUISA E DO DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS SOCIAIS E HUMANAS                                    	81	812	0	servicos.grupos
813	SERVIÇOS DE PESQUISAS INTERDISCIPLINARES E DO DESENVOLVIMENTO EXPERIMENTAL                                              	81	813	0	servicos.grupos
821	SERVIÇOS LEGAIS/JURÍDICOS                                                                                               	82	821	0	servicos.grupos
822	SERVIÇOS DE CONTABILIDADE,AUDITORIA FINANCEIRA E GUARDA LIVROS(CONTADOR)                                                	82	822	0	servicos.grupos
823	SERVIÇOS DE ASSESSORIA/CONSULTORIA RELACIONADOS A TRIBUTAÇÃO(TAXAÇÃO/IMPOSTOS)                                          	82	823	0	servicos.grupos
824	SERVIÇOS RELACIONADOS COM CASOS DE INSOLVÊNCIA E LIQUIDAÇÃO                                                             	82	824	0	servicos.grupos
831	SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            	83	831	0	servicos.grupos
832	SERVIÇOS DE ARQUITETURA,PLANEJAMENTO URBANO E PAISAGISMO                                                                	83	832	0	servicos.grupos
833	SERVIÇOS DE ENGENHARIA                                                                                                  	83	833	0	servicos.grupos
834	SERVIÇOS ESPECIALIZADOS DE DESENHO                                                                                      	83	834	0	servicos.grupos
835	SERVIÇOS CIENTÍFICOS E OUTROS SERVIÇOS TÉCNICOS                                                                         	83	835	0	servicos.grupos
836	SERVIÇOS DE PUBLICIDADE                                                                                                 	83	836	0	servicos.grupos
837	SERVIÇOS DE PESQUISA DE MERCADO E DE OPINIÃO PÚBLICA(ENQUETE)                                                           	83	837	0	servicos.grupos
838	SERVIÇOS FOTOGRÁFICOS E SERVIÇOS DE REVELAÇÃO/PROCESSAMENTO DE FOTOGRAFIAS                                              	83	838	0	servicos.grupos
839	OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   	83	839	0	servicos.grupos
841	SERVIÇOS DE TELECOMUNICAÇÕES E DE DISTRIBUIÇÃO DE PROGRAMAS                                                             	84	841	0	servicos.grupos
842	SERVIÇOS DE TELECOMUNICAÇÕES DE INTERNET                                                                                	84	842	0	servicos.grupos
843	SERVIÇOS DE FORNECIMENTO DE INFORMAÇÕES ON-LINE                                                                         	84	843	0	servicos.grupos
844	SERVIÇOS DE AGÊNCIAS DE NOTÍCIAS                                                                                        	84	844	0	servicos.grupos
845	SERVIÇOS DE BIBLIOTECAS E DE ARQUIVOS                                                                                   	84	845	0	servicos.grupos
851	SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL                                                              	85	851	0	servicos.grupos
852	SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA                                                                                    	85	852	0	servicos.grupos
853	SERVIÇOS DE LIMPEZA                                                                                                     	85	853	0	servicos.grupos
854	SERVIÇOS DE EMPACOTAMENTO                                                                                               	85	854	0	servicos.grupos
859	OUTROS SERVIÇOS DE SUPORTE                                                                                              	85	859	0	servicos.grupos
861	SERVIÇOS RELATIVOS À AGRICULTURA, CAÇA, REFLORESTAMENTO E PESCA                                                         	86	861	0	servicos.grupos
862	SERVIÇOS RELATIVOS A MINERAÇÃO                                                                                          	86	862	0	servicos.grupos
863	SERVIÇOS RELATIVOS A ELETRICIDADE,GÁS, E A DISTRIBUIÇÃO DE ÁGUA                                                         	86	863	0	servicos.grupos
871	SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               	87	871	0	servicos.grupos
872	SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       	87	872	0	servicos.grupos
873	SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO)                                                                         	87	873	0	servicos.grupos
881	SERVIÇOS DE MANUFATURA EM INSUMOS FÍSICOS QUE SAO PROPRIEDADE DE OUTROS(EXCETO MAQUINARIA E EQUIPAMENTO)                	88	881	0	servicos.grupos
882	SERVIÇOS DE MANUFATURAR EXECUTADOS EM METAIS EM PRODUTOS DE METAL,MAQUINARIA E EQUIPAMENTOS,POSSUÍDA POR OUTRAS         	88	882	0	servicos.grupos
891	SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO                                                                          	89	891	0	servicos.grupos
892	SERVIÇOS DE MANUFATURA DE MOLDES,PRENSAGENS,ESTAMPAS,CARIMBOS,EM PLÁSTICO OU SIMILAR                                    	89	892	0	servicos.grupos
893	SERVIÇOS DE MANUFATURA DE FUNDIDOS,CARIMBOS,MOLDES,EM METAL OU SIMILAR                                                  	89	893	0	servicos.grupos
894	SERVIÇOS DE RECICLAGEM,COMISSIONADOS OU CONTRATADOS                                                                     	89	894	0	servicos.grupos
911	SERVIÇOS ADMINISTRATIVOS DO GOVERNO                                                                                     	91	911	0	servicos.grupos
912	SERVIÇOS À COMUNIDADE COMO UM TODO(EM GERAL)                                                                            	91	912	0	servicos.grupos
913	SERVIÇOS ADMINISTRATIVOS DO SISTEMA DE SEGURIDADE SOCIAL COMPULSÓRIA                                                    	91	913	0	servicos.grupos
921	SERVIÇOS DE EDUCAÇÃO PRIMÁRIA/BÁSICO                                                                                    	92	921	0	servicos.grupos
922	SERVIÇOS DE EDUCAÇÃO SECUNDÁRIA/MÉDIO                                                                                   	92	922	0	servicos.grupos
923	SERVIÇOS DE EDUCAÇÃO SUPERIOR                                                                                           	92	923	0	servicos.grupos
929	OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO                                                                               	92	929	0	servicos.grupos
931	SERVIÇOS DE SAÚDE HUMANA                                                                                                	93	931	0	servicos.grupos
932	SERVIÇOS DE VETERINÁRIA                                                                                                 	93	932	0	servicos.grupos
933	SERVIÇOS SOCIAIS                                                                                                        	93	933	0	servicos.grupos
941	SERVIÇOS DE ESGOTO                                                                                                      	94	941	0	servicos.grupos
942	SERVIÇOS DE ELIMINAÇÃO DE REJEITOS                                                                                      	94	942	0	servicos.grupos
